FIPS code,State,State (short),MSA code ,MSA,County code,Township code,County name,County-State
1,Alabama,AL,33860,Montgomery AL,1,0,Autauga County,"Autauga County, AL"
1,Alabama,AL,19300,Daphne-Fairhope-Foley AL,3,0,Baldwin County,"Baldwin County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,5,0,Barbour County,"Barbour County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,7,0,Bibb County,"Bibb County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,9,0,Blount County,"Blount County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,11,0,Bullock County,"Bullock County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,13,0,Butler County,"Butler County, AL"
1,Alabama,AL,11500,Anniston-Oxford-Jacksonville AL,15,0,Calhoun County,"Calhoun County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,17,0,Chambers County,"Chambers County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,19,0,Cherokee County,"Cherokee County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,21,0,Chilton County,"Chilton County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,23,0,Choctaw County,"Choctaw County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,25,0,Clarke County,"Clarke County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,27,0,Clay County,"Clay County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,29,0,Cleburne County,"Cleburne County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,31,0,Coffee County,"Coffee County, AL"
1,Alabama,AL,22520,Florence-Muscle Shoals AL,33,0,Colbert County,"Colbert County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,35,0,Conecuh County,"Conecuh County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,37,0,Coosa County,"Coosa County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,39,0,Covington County,"Covington County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,41,0,Crenshaw County,"Crenshaw County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,43,0,Cullman County,"Cullman County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,45,0,Dale County,"Dale County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,47,0,Dallas County,"Dallas County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,49,0,DeKalb County,"DeKalb County, AL"
1,Alabama,AL,33860,Montgomery AL,51,0,Elmore County,"Elmore County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,53,0,Escambia County,"Escambia County, AL"
1,Alabama,AL,23460,Gadsden AL,55,0,Etowah County,"Etowah County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,57,0,Fayette County,"Fayette County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,59,0,Franklin County,"Franklin County, AL"
1,Alabama,AL,20020,Dothan AL,61,0,Geneva County,"Geneva County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,63,0,Greene County,"Greene County, AL"
1,Alabama,AL,46220,Tuscaloosa AL,65,0,Hale County,"Hale County, AL"
1,Alabama,AL,20020,Dothan AL,67,0,Henry County,"Henry County, AL"
1,Alabama,AL,20020,Dothan AL,69,0,Houston County,"Houston County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,71,0,Jackson County,"Jackson County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,73,0,Jefferson County,"Jefferson County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,75,0,Lamar County,"Lamar County, AL"
1,Alabama,AL,22520,Florence-Muscle Shoals AL,77,0,Lauderdale County,"Lauderdale County, AL"
1,Alabama,AL,19460,Decatur AL,79,0,Lawrence County,"Lawrence County, AL"
1,Alabama,AL,12220,Auburn-Opelika AL,81,0,Lee County,"Lee County, AL"
1,Alabama,AL,26620,Huntsville AL,83,0,Limestone County,"Limestone County, AL"
1,Alabama,AL,33860,Montgomery AL,85,0,Lowndes County,"Lowndes County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,87,0,Macon County,"Macon County, AL"
1,Alabama,AL,26620,Huntsville AL,89,0,Madison County,"Madison County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,91,0,Marengo County,"Marengo County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,93,0,Marion County,"Marion County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,95,0,Marshall County,"Marshall County, AL"
1,Alabama,AL,33660,Mobile AL,97,0,Mobile County,"Mobile County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,99,0,Monroe County,"Monroe County, AL"
1,Alabama,AL,33860,Montgomery AL,101,0,Montgomery County,"Montgomery County, AL"
1,Alabama,AL,19460,Decatur AL,103,0,Morgan County,"Morgan County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,105,0,Perry County,"Perry County, AL"
1,Alabama,AL,46220,Tuscaloosa AL,107,0,Pickens County,"Pickens County, AL"
1,Alabama,AL,100004,Southeast Alabama nonmetropolitan area,109,0,Pike County,"Pike County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,111,0,Randolph County,"Randolph County, AL"
1,Alabama,AL,17980,Columbus GA-AL,113,0,Russell County,"Russell County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,115,0,St. Clair County,"St. Clair County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,117,0,Shelby County,"Shelby County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,119,0,Sumter County,"Sumter County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,121,0,Talladega County,"Talladega County, AL"
1,Alabama,AL,100002,Northeast Alabama nonmetropolitan area,123,0,Tallapoosa County,"Tallapoosa County, AL"
1,Alabama,AL,46220,Tuscaloosa AL,125,0,Tuscaloosa County,"Tuscaloosa County, AL"
1,Alabama,AL,13820,Birmingham-Hoover AL,127,0,Walker County,"Walker County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,129,0,Washington County,"Washington County, AL"
1,Alabama,AL,100003,Southwest Alabama nonmetropolitan area,131,0,Wilcox County,"Wilcox County, AL"
1,Alabama,AL,100001,Northwest Alabama nonmetropolitan area,133,0,Winston County,"Winston County, AL"
2,Alaska,AK,200006,Alaska nonmetropolitan area,13,0,Aleutians East Borough,"Aleutians East Borough, AK"
2,Alaska,AK,200006,Alaska nonmetropolitan area,16,0,Aleutians West Census Area,"Aleutians West Census Area, AK"
2,Alaska,AK,11260,Anchorage AK,20,0,Anchorage Borough,"Anchorage Borough, AK"
2,Alaska,AK,200006,Alaska nonmetropolitan area,50,0,Bethel Census Area,"Bethel Census Area, AK"
2,Alaska,AK,200006,Alaska nonmetropolitan area,60,0,Bristol Bay Borough,"Bristol Bay Borough, AK"
2,Alaska,AK,200006,Alaska nonmetropolitan area,63,0,Chugach Census  Area,"Chugach Census  Area, AK"
2,Alaska,AK,200006,Alaska nonmetropolitan area,66,0,Copper River Census Area  ,"Copper River Census Area  , AK"
